esp,ing,parte
"la soberanía reside exclusivamente en el pueblo, del cual emana el poder público","nukanchi imasa munaskasinami iuianchi kaugsanga kai alpapi tukui kaugsagkuna, nispami tukui nukanchita iuiachigkunata ialichinchi",articulos
"el pueblo la ejerce en forma directa o por medio de sus representantes, en los términos que la constitución establece","chi suma iuaikuna nukanchikikin u atun taitakunawami tuku, imasa nukanchipa achka iachag pangakuna iachachiskasina",articulos
la constitución es norma de normas,achka iachag pangakunapa iuiaikunata sugllapi suiuchiskami ká,articulos
"en todo caso de incompatibilidad entre la constitución y la ley u otra norma jurídica, se aplicarán las disposiciones constitucionales","mana achka iachag pangakuna suma tukuskata u mana achka iachag pangapa wawa suma kagpika, nukanchita iuiachigkunami iuiachinga, imasa kangata u maikan mas iacha pangata iuiachingata",articulos
"es deber de los nacionales y de los extranjeros en colombia acatar la constitución y las leyes, y respetar y obedecer a las autoridades","kai i sug atun llagtamanda runakuna, kai kulumbiapi kaugsakuna tukuikunami iukanchi iuianga,imasa achka iachag pangakuna i achka iachag pangakunapa wawa niskasina, upallami iukanchi aja ninga atun taitakunata",articulos
"el estado reconoce, sin discriminación alguna, la primacía de los derechos inalienables de la persona y ampara a la familia como institución básica de la sociedad","tukuikunatami atun llagtaka rigsi, ñi pitapas mana sugma churaspalla, nukanchipa suma iuiaspa, suma kaugsaita sumaglla kuaspa i nukanchipa atunkunata sumaglla maki kuaspa i willaspa paikunami mas atunkuna kankuna",articulos
los particulares sólo son responsables ante las autoridades por infringir la constitución y las leyes,"mana kaimanda kaskakuna achka iachag pangakuna i achka iachag pangapa wawapagmami iukankuna ringa iuiai i ainingapa, mana achka iachag pangakuna niskata uiagmanda",articulos
los servidores públicos lo son por la misma causa y por omisión o extralimitación en el ejercicio de sus funciones,chasallata kikin taitakuna mana suma iuiachigmanda u mana suma iuaikunawa sugkunata llakichispa purichigmanda paikunatapasmi achka iachag pangakuna iuiachingapa kaiangapa kankunata,articulos
"las relaciones exteriores del estado se fundamentan en la soberanía nacional, en el respeto a la autodeterminación de los pueblos y en el reconocimiento de los principios del derecho internacional aceptados por colombia","nukanchipa atun llagta, sug atun llagtakunawa rimangapami iuiá, nukanchi imasa munaskasina iuiangapa i nukanchipa atun taitakuna ailastimaskasina",articulos
"de igual manera, la política exterior de colombia se orientará hacia la integración latinoamericana y del caribe","imasa kikin wawa llagta, uchulla llagtakuna sumaglla tapuchiskasina, i sug atun llagtanigta suma iuiaspa kaugsaikunata nukanchipa kulumbia animuskata",articulos
el derecho a la vida es inviolable,ni pipas wañuchii u wañuchichii mana pudingapa kanchu,articulos
no habrá pena de muerte,nukanchipa kaugsaitaka runakuna mana pudinkunachu anchuchingapa,articulos
"nadie será sometido a desaparición forzada, a torturas ni a tratos o penas crueles, inhumanos o degradantes",ni pitapas mana,articulos
"todas las personas nacen libres e iguales ante la ley, recibirán la misma protección y trato de las autoridades y gozarán de los mismos derechos, libertades y oportunidades sin ninguna discriminación por razones de sexo, raza, origen nacional o familiar, lengua, religión, opinión política o filosófica","achka iachag pangapa ñawipi tukuikunami sugllasina kanchi,  air iwan ke  tuikunatami atun llagtapi kawagkuna iual maki kuanga, 4500 ñi pitapas mana sugma anchuchispalla, pañaspa imasa nigmanda u iuiagmanda",articulos
dan el estado promoverá las condiciones para que la igualdad sea real y efectiva y adoptará medidas en favor de grupos discriminados o marginados,"kari warmi parijumi iual  oxo  xx1888 nai  kanchi, mas sug rigcha kaugsakuna imapas, u sug simi u sug iuiai iukagkuna imapas u sug iuiaiug imapas",articulos
"pol  el estado protegerá especialmente a aquellas personas que por su condición económica, física o mental, se encuentren en circunstancia de debilidad manifiesta y sancionará los abusos o maltratos que contra ellas se cometan","atun llagta tukui ministidutami sugllapi suichispa iuka maskanga, chasa ruragpika sutipa i allillami kanga, suma taitasina mana piñaspalla wagchukunatapasmi iuká sumaglla kawaspa aidanga",articulos
"se prohíben la esclavitud, la servidumbre y la trata de seres humanos en todas sus formas","ni pitapas mana allikanchu ianga, mana kulki kuaspalla trabajachinga u piñaspa trabajachispa charinakungapa",articulos
se garantiza la libertad de conciencia,achka iachag pangakuna nukanchipa iuiaita iangami kawangapa ká,articulos
nadie será molestado por razón de sus convicciones o creencias ni compelido a revelarlas ni obligado a actuar contra su conciencia,"ni maikanpas mana piñangapa kanchu nukanchipa iuiai u munaimanda, kawachii u willai mana iukanchichu 30  willanga, nukanchi ima iachaska u ima iuiaska terma nukanchillami iukanchi charinakunga",articulos
"todo colombiano, con las limitaciones que establezca la ley, tiene derecho a circular libremente por el territorio nacional, a entrar y salir de él, y a permanecer y residenciarse en colombia","tukui kai atun llagtapi kaugsag runakuna pudinchimi puringa intiru nukanchipa atun llagtapi u llugsinga sug llagtakunama u ikuti kutimunga nukanchipa atun llagtamallatata, i nisaka maipi mas sumaskapi kai kulumbiapi kaugsangapa",articulos
"el estado garantiza las libertades de enseñanza, aprendizaje, investigación y cátedra","nukanchipa atun llagta tukuikunatami iuka kuanga, nukanchi ima munaska ianga iachaikungapa u nukanchita ima mas ministikata iachaikungapa, u iachachigkuna imasa suma iachaskasina iachaikugkunata iachachingapa",articulos
la mujer y el hombre tienen iguales derechos y oportunidades,"warmi, kari chasallatami suma iuiaspa i suglla tukuspa iukanchi kaugsanga",articulos
la mujer no podrá ser sometida a ninguna clase de discriminación,warmita mana pudinchichu laduma churanga,articulos
"durante el embarazo y después del parto gozará de especial asistencia y protección del estado, y recibirá de éste subsidio alimentario si entonces estuviere desempleada o desamparada","wawawa ungug kaura i ña wamra iukaskauramanda atun llagta iukami, ima ministiska ialinchinga, mana ñi pipas kawangapa tiagpika u mana ñima iukagpika",articulos
"son derechos fundamentales de los niños: la vida, la integridad física, la salud y la seguridad social, la alimentación equilibrada, su nombre y nacionalidad, tener una familia y no ser separados de ella, el cuidado y amor, la educación y la cultura, la recreación y la libre  expresión de su opinión","kai suma iuiaspa kaugsai wawakunata mana iukancichu pisichinga, kuirpupi ñimapas mana iukanchi pisinga, mana ungug kangapa i nukanchi runapura kaugsaskapi  xxonai  anderson  allilla kangapa, alli mikui mikungapa, atunkuna iukangapa, atunkunapagmanda mana llugsichii tukungapakuna, kuiai tukuspa i sumaglla munanakuspa, iachaikui i tukuikunapa iuiai i kaugsai pugllai paikuna imasa munaskasina u imasa iuiaskasina rimangapa",articulos
"serán protegidos contra toda forma de abandono, violencia física o moral, secuestro, venta, abuso sexual, explotación laboral o económica y trabajos riesgosos","imasa sitaska kaskakunapas, kawaimi tukungakuna",articulos
"gozarán también de los demás derechos consagrados en la constitución, en las leyes y en los tratados internacionales ratificados por colombia",allilla kaskakunapas chasallatami chaskingakuna,articulos
"la familia, la sociedad y el estado tienen la obligación de asistir y proteger al niño para garantizar su desarrollo armónico e integral y el ejercicio pleno de sus derechos","michami wawakunata wagllichingapa kikinkunata, paikunapa iuiaita, pakaspa upalla pusangapa, wawakunapa kuirputa trabisiangapapas askurintimi micha, katui, paikuna ruraskata apirii, ianga trabajachii, kulkita apiripungapa, ña wañungasina rurainigta ganaskata",articulos
cualquier persona puede exigir a la autoridad competente su cumplimiento y la sanción de los infractores,iukanganapasmi chi suma iuiakuna achka iachag pangakuna i achka iachag pangakunapa wawapi imasa niraiaskasina i sug atun llagtakunawa sugllapi iuiariska iachag pangakunawa i kulumbia ar siñur niskawa,articulos
los derechos de los niños prevalecen sobre los derechos de los demás,"atunkuna, kaipi runapura kaugsagkuna i atun llagta iukankunami sugmalla kawaspa, ima ministiska randipuspa, wawakunata sumaglla atarichingakuna, chasa ruragpika sumami wiñangakuna u mana kagpika panagtami wiñangakuna",articulos
los particulares podrán fundar establecimiento educativos,maikan runakunapas wasikuna saiachispa pudinkunami iachachinga,articulos
la ley establecerá las condiciones para su creación y gestión,achka iachag pangapa wawami ninga,articulos
la comunidad educativa participará en la dirección de las instituciones de educación,"imakunami ministi wiñachispa iachachii kallaringapa u maikan iurakunapa panga ministigta, atun llagtapi kawagkunata kawachispa kuagringapa",articulos
la enseñanza estará a cargo de personas de reconocida idoneidad ética y pedagógica,atun llagtapi iachachidiru wasinigtami iachachigkuna iukankuna kangakuna,articulos
la ley garantiza la profesionalización y dignificación de la actividad docente,"iachachigkuna, allilla i sumami iukankuna iachangakuna wamrakunata iachachingapa",articulos
los padres de familia tendrán derecho de escoger el tipo de educación para sus hijos menores,askurinti alli umami iukankuna kangakuna,articulos
en los establecimientos del estado ninguna persona podrá ser obligada a recibir educación religiosa,achka iachag pangapa wawami maki kuangapa kankunata mas iachaikungapa i sumaglla kuiachispami iachachigkunata charingakunata,articulos
los integrantes de los grupos étnicos tendrán derecho a una formación que respete y desarrolle su identidad cultural,"wamrakunapa taitakunami iukankuna agllanga, paikunapa uchulla wawakuna ima iachaikungapa munaska",articulos
"la erradicación del analfabetismo y la educación de personas con limitaciones físicas o mentales, o con capacidades excepcionales, son obligaciones especiales del estado","atun llagtapa iachachii wasinigta mana munaskataka ñi pipas mana pudinchu sug iuiakunapa iuiaita iachachinga, nukanchipa iaiakunapa iuiaita kichuspa",articulos
son nacionales colombianos:  c,kawasunchi ari pikunami kulumbianu niraianchi:  a,articulos
"los miembros de pueblos indígenas que compartan territorios fronterizos, con aplicación del principio de reciprocidad según tratados públicos","sug llagtapa wawakuna, kai llagtamandasina niraiangapa, sug pangapi allilla iuiarispa, sug makiwa pangapi kalpachispami mañangakuna, imasami achka iachag pangakunapa wawapi niraian chasallata, ñi maillapas mana sugma kinraiaspalla, chi achka iachag pangakunapa wawallatatami ninga imaurami mana chasa chaskingakuna u mana ningakuna, sug llagtapa wawa kagmanda",articulos
"resumen de los artículos 86, 87, 88 redactado por los abogados asesores de la traducción",c,articulos
la constitución colombiana nos dice cuáles son nuestros derechos y la manera de protegerlos y exigir su cumplimiento,"tukui nukanchipa runakuna, sug llagtakunapa pundirichu kaugsakuna u sug ladu chimba ialispa kaugsakunatapasmi iukanchi ninga; nukanchipa atun llagtamandami kankuna, ña chasa niraiangapa, chi atunkuna nukachita charig iurapura, paipurami rimanakunga, imasa paipura rimanakuskasina i makiwa pangapi kalpachispa wakachiska iukankuna chasa",articulos
"algunos de los derechos son considerados fundamentales como el derecho a la vida, la libertad personal, el buen nombre y otros mencionados en los artículos del 11 al 41 de la constitución nacional","pusag chunga sugta, pusag chunga kanchis, pusag chunga pusag hordator (86,87,88) achka iachag kulumbiamanda pangakuna willami maikankuna nukanchi mañadiru i kawadiru kagta, imasa niraiaskasinami munai mana munai iukankuna kuangakuna",articulos
para hacer efectiva la protección de estos derechos existen unos mecanismos que podemos utilizar las personas directamente o por medio de un abogado,"tukui runakumanda, kaugsai, iapa ministidumi ká",articulos
los mecanismos para proteger nuestros derechos se llaman acciones y se pueden utilizar cuando exista una amenaza de violación de los derechos o cuando se hayan violado en perjuicio de las personas o de las comunidades,"ñi pitapas ianga mana wañuchingapa pudirinchu, ima munaskami rurangapa pudiri; piru ñi pitapas mana llakichispalla, allilla rimaspa, imasami chunga sug, 1000 chusku chunga sug suiuchiikama willaku chasa, chi achka iachag pangakunapi",articulos
por medio de las acciones se acude ante los jueces para solicitar protección,"kai mañadirukuna ña sutipa nukanchita charig iurakuna kuangapa, nukanchi kikinllami pudinchi ringa ast mañangapa; mana sug lidu rimapungapa maskaspalla",articulos
las principales acciones son: 1,"asnikm  maiaaaxx  kai mañadirukuna, nukanchi kikin mañadirumi suti ka; nukanchipa suma iuiaita u kaugsaita nanachigpikuna u ña sutipa runakunata u tukui nukanchipa alpapi kaugsagkunata nanachigpikunaka, sug iura mana suma kaskata allilla iuiachidurpagmami iukanchi willangapa ringa, paita aiudawai ruangapa",articulos
acción de tutela: esta acción la regula el artículo 86 de la constitución nacional,nukanchi imasa rimagridiru kaskakunata kaugasunchi: 1,articulos
"toda persona o comunidad que se vea amenazada por un mal que no tenga reparación o que no disponga de otro medio de defensa, puede pedir a cualquier juez que le protejan de la amenaza o violación de sus derechos fundamentales",nukanchipata kutichingapa mañadiru,articulos
el juez ante quien se interponga la acción de tutela tiene un plazo límite de diez (10) dias para resolver la reclamación,kaika pusag chunga sugta suiuchiipimi niraiá,articulos
"las acciones populares sirven para proteger derechos e intereses colectivos relacionados con los bienes de uso público, el espacio, el ambiente, la seguridad y la salubridad públicas y otros que contemplan nuestra constitución y la ley","sapalla u tukuikuna iuiaipi u kaugsaipi nanachigpi u manchachii apagpi mana ñi pipas michangapa tiagpi, maikan iura mana suma kaskata allilla iuiachi durpagmami iukanchi ringa, mana allilla kagmanda jirukunata allichipuai ruwangapa",articulos
"cuando la violación de estos derechos causen daños a una comunidad o a un grupo de personas, cualquier persona puede reclamar ante los jueces en nombre de todas, la reparación del daño","pai tukuikunatami iuka sumaglla aiudaspa kawanga, nukanchipa atunkunasina, tukui nukanchimanda suma chaiaskakunata",articulos
el estado reconoce y protege la diversidad étnica y cultural de la nación colombiana,"tukui sug rigcha kaugsag runakunatami atun llagta muná, i kawá, paikunapa imasa kaugsai i iuiai iukaskawa kai kulumbia llagta suti kaskapi u kai mama llagtapi",articulos
es obligación del estado y de las personas proteger las riquezas culturales y naturales de la nación,"tukui ima suma tiaska (alpa, alpa ukuma u awalla; sacha ukupi u awalla) atun llagta i nukanchi kikinkunami iukanchi kawanga",articulos
el castellano es el idioma oficial de colombia,"iurakunapa rimaita, tukuikunami nukanchipa kulumbiapi iukanchi rimanga",articulos
las lenguas y dialectos de los grupos étnicos son también oficiales en sus territorios,"nukanchipa sug rigcha kaugsai runakunapa rimai, iurakunapa rimaisinami kanga nukanchipa uchulla llagtapi",articulos
la enseñanza que se imparta en las comunidades con tradiciones lingüísticas propias será bilingüe,nukanchi kaugsaska llagtapi iurakunapa i nukanchipa simipimi iukanchi iachachinga iachaikug wawakunata,articulos
"los bienes de uso público, los parques naturales, las tierras comunales de grupos étnicos, las tierras de resguardo, el patrimonio arqueológico de la nación y los demás bienes que determine la ley, son inalienables, imprescriptibles e inembargables","tukuikunamanda niraiaska, tukuikunamandami ká, sachukukuna wakachiska, sug rigcha kaugsag runakunapa alpa, ñugpamanda runakuna ruraska sakiska, kai mama llagtapami ká, i sug ima tiaskakuna imasa achka iachag pangakuna wawapi niraiaskasina, chikunami kankuna mana katudiru, mana kichunga pudiri suma iuiaspa kaugsai mana tukuringapa kanchu",articulos
"el estado tiene el deber de promover y fomentar el acceso a la cultura de todos los colombianos en igualdad de oportunidades, por medio de la educación permanente, y la enseñanza científica, técnica, artística y profesional en todas las etapas del proceso de creación de la identidad nacional","atun llagta tukuikunatami iuka rigsichinga, tukuikunapa iuiai i kaugsaita, sug rigcha kaugsaikunawanta tukui kai alpapi kaugsaskakuna, kati katilla iachachispa, sumaglla kawachispa, paikuna imasa rurangapa pudingasina, imasa mama llagtamandakuna iuiaskasina",articulos
la cultura en sus diversas manifestaciones es fundamento de la nacionalidad,"kai atun llagtapi achka sug rigcha iuiai i sug rigcha kaugsaiùg runakunami tiankuna, chikunapas mama llagtapa ká",articulos
el estado reconoce la igualdad y dignidad de todas las que conviven en el país,"tukui atun llagtapi kaugsakuna, tukuikunawa iualmi kanchi ñipipas mas atun mana kanchu",articulos
"el estado promoverá la investigación, la ciencia, el desarrollo y la difusión de los valores culturales de la nación","atun llagtaka iukami maskanga sugkuna imasa kaugsanakugta rigsiikuna, imasa mas nukanchi iacha kangapa, chimi mas suma wiñachispa apasunchi, nispa pudinchimi sugkunata kawachinga, nukanchi imasa kaugsai iuiai iukagta",articulos
el patrimonio cultural de la nación está bajo la protección del estado,nugpamandakunapa iuiai kaugsai tukui ima kai atun llagtapi tiaska mama llagtami iuka kawaspa sumaglla wakachinga,articulos
"el patrimonio arqueológico y otros bienes culturales que conforman la identidad nacional, pertenecen a la nación y son inalienables, inembargables e imprescriptibles",ñupagmanda runakuna ruraspa sakiskata i sug imakuna tiaska mama llagtapami ká,articulos
la ley establecerá los mecanismos para readquirirlos cuando se encuentren en manos de particulares y reglamentará los derechos especiales que pudieran tener los grupos étnicos asentados en territorios de riqueza arqueológica,"chikunataka mana katudiru kanchu, mana kichungapa pudirinchu, maituku unai nukanchi sakigpipas, nukanchi kikinpami kanga",articulos
"todo ciudadano tiene derecho a participar en la conformación, ejercicio y control del poder político","kai atun llagtapi kaugsagkuna kari, warmikuna; chunga pusag wataiugkuna, tukui iurakunapa panga charigkuna kaikunami pudinchi ruranga:  sug",articulos
para hacer efectivo este derecho puede: 1,"sumaglla imasa nukanchipa umawa sumaglla iuiarispami iukanchi mañanga, maikan mas alli atun suma atun llagtapi kaugsagkunata agllanga, nukanchipa atun kangapa; chimi chasallata nukanchitapas allilla iuiarispa maskangakuna",articulos
elegir y ser elegido,iskai,articulos
2,"atun llagtapi charig runakunata agllai apanakura, nukanchipasmi iukanchi agllanga, nukanchimanda mas suma kangapa tapuchii tiaura chipipasmi tukui nukanchi runakuna iukanchi kagringa",articulos
"tomar parte en elecciones, plebiscitos, referendos, consultas populares y otras formas de participación democrática",kline  xan  kimsa,articulos
las autoridades garantizarán la adecuada y efectiva participación de la mujer en los niveles decisorios de la administración pública,"nukanchipa alli iuiaikunata kaugsachispa, wiñachispa kawachisunchi, tikui llagtamanda runakunata, maikankuna tuparingapa munaskata kaiasunchi",articulos
el senado de la república estará integrado por cien miembros elegidos en circunscripción nacional,"kai atun llagtapi awanigmanda kawagkuna, patsa iurakunami iukankuna kanga, tukui kai atun llagtapi kaugsagkunata paipura maskachiriska",articulos
habrá un número adicional de dos senadores elegidos en circunscripción nacional especial por comunidades indígenas,"nukanchipas iskai awanigmanda kawagmi pudinchi maskanga, iurakuna munagpi u mana munagpi imapas, nukanchipa iaskai runakuna iukankunami tiagrigringa, paikunata maipi chaiaskapi, nukanchimanda sumaglla rimaspa i kawaspa",articulos
los ciudadanos colombianos que se encuentren o residan en el exterior podrán sufragar en las elecciones para senado de la república,"iurakuna i nukanchipa runakunapas, sug llagtapi kaugsagriskakunapasmi pudinkuna awanigmanda kawagkunata maskangakuna, paikunata maskai tiaura",articulos
la circunscripción especial para la elección de senadores por las comunidades indígenas se regirá por el sistema de cuociente electoral,"iurakuna sakingapami kankuna, nukanchipa iskai mas atun awanigmanda kawagkunata, maikan mas achka maitu mirachiskata",articulos
"los representantes de las comunidades indígenas que aspiren a integrar el senado de la república, deberán haber ejercido un cargo de autoridad tradicional en su respectiva comunidad o haber sido líder de una organización indígena, calidad que se acreditará mediante certificado de la respectiva organización, refrendado por el ministro de gobierno",chika nukanchipa iskai runakunamandallami chasa niraiá,articulos
"para ser elegido senador se requiere ser colombiano de nacimiento, ciudadano en ejercicio y tener más de treinta años de edad en la fecha de la elección","awanigmanda kawagta agllangapa, kai nukanchipa llagtapi iukariskami iuka kanga, ñimapipas mana pandariska, paita maskanakuraka kimsa chunga wata chasamami iuka iukanga",articulos
la cámara de representantes se elegirá en circunscripciones territoriales y circunscripciones especiales,"awanigmanda kawadurkunata katiraiagkunata maskaringami, wawa llagtakunapi, imaura iurakuna  willaura",articulos
la ley podrá establecer una circunscripción especial para asegurar la participación en la cámara de representantes de los grupos étnicos y de las minorías políticas y de los colombianos residentes en el exterior,"achka iachag pangakunapa wawami churanga, imasa nukanchipapura runallata agllangapa kagta, chimi nukanchipas iukasunchi awanigmanda kawadurkunata katiraigkuna, ianakunapas nukanchisinami iukankuna agllanga, sug iurakuna i nukanchipa runakunapas sug llagtapi kausagkuna chasallatami agllangakuna",articulos
para ser elegido representante se requiere ser ciudadano en ejercicio y tener más de veinticinco años de edad en la fecha de la elección,"kai llagtapi awanigmanda kawadurta katiraig tiarigringapa, pai iukami nukanchipa llagtamanda i mana mana  nukanchipa taitakunapagnigta u iurakunapagnigta iuiachispa purichiska kanga",articulos
"las autoridades de los pueblos indígenas podrán ejercer funciones jurisdiccionales dentro de su ámbito territorial, de conformidad con sus propias normas y procedimientos, siempre que no sean contrarios a la constitución y leyes de la república",nukanchi kikinpurata agllaska atun taitakunami iuiachingakuna nukanchipapurapa alpapika,articulos
la ley establecerá las formas de coordinación de esta jurisdicción especial con el sistema judicial nacional,"maikan nukanchi pandarispa kaugsanakugpika, nukanchipa ñugpamanda atunkuna imasami iacharkakuna nukanchipa rinrita mukunga, chasami mukuspa apachingakuna mana suma ruraspa kaugsagkunata",articulos
"son entidades territoriales los departamentos, los distritos, los municipios y los territorios indígenas","iurakuna ruraspa sutichiska wawa llagta, awa wasikuna i achka wasikunaiug, iurakuna sumaglla kaugsadiru, iurakuna uchulla llagta sutichiska i nukanchipapurapa alpapasmi atun llagtapa e  wawakunallatata ka",articulos
la ley podrá darle el carácter de entidades territoriales a las regiones y provincias que se constituyan en los términos de la constitución y de la ley,"atun llagtapa katilla alpakuna i puntu wawa llagtapa tuot alpakunapasmi atun llagtapa wawa alpakuna kanga, imasa achka iachag pangakunapi achka iachag pangakunapa wawapi willaraigsamu chasami llugsinga",articulos
"las entidades territoriales gozan de autonomía para la gestión de sus intereses, y dentro de los límites de la constitución y la ley","atun llagtapa wawakuna, kikinkunami kawanakungapa kankuna, kikinkunamanda ima mailla ministiska maskaspa iukangapa, imasa achka iachag pangakunapi wawapi willaku chasa",articulos
en tal virtud tendrán los siguientes derechos:,chasa apachiraigmandami kaikuna chaskingapa kankuna,articulos
"con el cumplimiento de los requisitos y formalidades que señale la ley, y en los casos que ésta determine, se realizará el examen periódico de los límites de las entidades territoriales y se publicará el mapa oficial de la república","imasami achka pangakunapa wawapi apachiraiá (riraiá), chasami iuka kanga atun llagtapa wawakunata kinchachiskauramandaka, kada sugratumi iukanchi chapanakugringa, mana ñi pipas uchullaiachipungapa",articulos
"la conformación de las entidades territoriales indígenas se hará con sujeción a lo dispuesto en la ley orgánica de ordenamiento territorial, y su delimitación se hará por el gobierno nacional con participación de los representantes de las comunidades indígenas, previo concepto de la comisión de ordenamiento territorial",atun (329),articulos
los resguardos son de propiedad colectiva y no enajenable,"atun  llagtapa wawakuna nukanchipurapa alpapimi rurangakuna, achka iachag pangakunapa wawapimi willaraiá i apachiraiá, kinchachiikunaka atun llagtata charig iura runami kasa kinchachii ninga, chiuraka tukui taitakuna i nukanchimanda rimapug waugkikunapasmi iukankuna kinchachispa i maikamami kinchachiska kawaspa purinakunga, ña chasa rurangapaka chaiakumi suiangapa sug wasipi, kinchachii mandag sutikunami tianaku paikuna kinchachii niura",articulos
"de conformidad con la constitución y las leyes, los territorios indígenas estarán gobernados por consejos conformados y reglamentados según los usos y costumbres de sus comunidades y ejercerán las siguientes funciones:","imasa achka iachag pangakuna i achka iachag pangakunapa wawapi willaku, chasami nukanchipapurapa alpanigta nukanchipa iuiaiwa iukanchi charinga, sug iuiachispa purigkunami iukanchi maskanga, imasa iurakuna nukanchita charinkuna chasa, achka iachag pangakunapa wawapi kalpachiraiaskasina, imasa kaugsai, iuiai kaskasina, kaikunami pudinchi ruranga:  oxixxim  umuz con ingrenem sqeelliw senuchun saulut iqelliguz",articulos
"las entidades territoriales elaborarán y adoptarán de manera concertada entre ellas y el gobierno nacional, planes de desarrollo, con el objeto de asegurar el uso eficiente de sus recursos y el desempeño adecuado de las funciones que les hayan sido asignadas por la constitución y la ley",tiq sqaidoine imamlansleidoilsi,articulos
"habrá un consejo nacional de planeación integrado por representantes de las entidades territoriales y de los sectores económicos, sociales, ecológicos, comunitarios y culturales","atun llagtapi sugllapi tukuska runakunami tianga ministidukuna mañangapa sug atun llagtapa wawata uchullaiachiskamanda runakunawa, sug kulki iukagkunawa, mana kulki iukagkunawa, alpapi ima  alexand  n z  xx  tiaskata kawagkunawa, tukui kaugsagkunawa i runakunapa iuiai i kaugsaita mana wañuchispalla",articulos
el consejo tendrá carácter consultivo y servirá de foro para la discusión del plan nacional de desarrollo,kai sugllapi tukuska runakunaka willaspa mañangakuna suma iuiarispa mirachig runakunata imakuna ministiskata,articulos
"los miembros del consejo nacional serán designados por el presidente de la república de listas que le presenten las autoridades y las organizaciones de las entidades y sectores a que se refiere el inciso anterior, quienes deberán estar o haber estado vinculados a dichas actividades","atun llagtapi sugmalla tukuska runakunata, atun hollagtapi charig iurarunami agllanga, nukanchipurakunata kawag, achka runakuna sugllapi tukuska nukanchipa iuiaiwa u sugkunapa iuiaiwa sugkuna imasa paikuna kaugsakasina, nukanchikikin agllaska ialichiskata",articulos
su período será de ocho años y cada cuatro se renovará parcialmente en la forma que establezca ley,imasami suiuchispa pitikunapi niraian chasa,articulos
"en las entidades territoriales habrá también consejos de planeación, según lo determine la ley",chi nukanchikikin agllaskakunaka iukankunami allilla rigsinga u chikuna rurai puriskakuna kanga,articulos
el consejo nacional y los consejos territoriales de planeación constituyen el sistema nacional de planeación,"paikunataka pusag watapami agllanga chusku wata kaura sug maillakunatami pudinkuna trukanga, imasa achka iachag as masa fa pangakunapa wawa niskasina",articulos
los municipios participarán en los ingresos corrientes de la nación,"wawa llagtata katiraiagkunapasmi kulki chaskingakuna, runakuna kaugsadiru atun llagtata",articulos
"la ley, a iniciativa del gobierno, determinará el porcentaje mínimo de esa participación y definirá las áreas prioritarias de inversión social que se financiarán con dichos recursos","achka iachag pangakunapa wawa, imasa atun llagtata charig iura runa mailla u achka ialichiskasina, i paimi ninga maipi, imapi, imaura chi kulkikunata ministiskapi tukuchingapa",articulos
"para los efectos  de esta participación, la ley determinará los resguardos indígenas que serán considerados como municipios","chi kulkikunata chaskingapa, achka iachag pangakunapa wawami ninga, iurakuna, wiñachiska, nukanchi unai charinakuska alpakunapasmi kangapa ká wawa llagtata katiraiagkuna",articulos
artículo transitorio 45,suiuchiita allichispa kawachig (transitorio 45),articulos
"los distritos y los municipios percibirán como mínimo, durante la vigencia fiscal de 1992, las participaciones en el impuesto al valor agregado, iva, establecidas en la ley 12 de 1986","wawa llagtata katiraiagkuna mas achka kulkinmi chaskingapa kankuna atun llagtata wata watapi, patsapi chunga chusku iapachingapa, kai waranga iskun patsa iskun chunga kimsa watapi, patsapi, iskai chunga iskai, maillallapas iapachi chaiankama, iskai waranga iskai watakama",articulos
"a partir de 1993 entrará a regir lo dispuesto en el artículo 357 de la constitución, sobre participación de los municipios en los ingresos corrientes de la nación","achka iachag pangakunapa wawami willangapa ká, imaurami mas iapachingapa kagta i ningapa ká ikuti mas kulki kuaspa richispa apangapa kankuna wawa llagtata katiraiagkunata, paikuna imasa chaskiskasina allilla ialichispa tukuchingapa",articulos
"la ley, sin embargo, establecerá un régimen gradual y progresivo de transición a partir de 1993 y por un período de tres años, al cabo del cual entrarán en vigencia los nuevos criterios de distribución señalados en el citado artículo","nukanchi agllaska nunakuna nukanchita iuiachingapa iukankunami kawachinga, atun llagtapi kagkunata imasa gastangapa kagta i sumaglla kawaspa mana suma kaskakunata, mana suma ruragpikuna,  anna  xx",articulos
